tree_id,year,tree_dbh,health,spc_latin,spc_common,root_stone,root_grate,root_other,trunk_wire,address,zipcode,boro_name,longitude,latitude,block_code,sidewalk
844,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"600 WEST 59 STREET, New York",10019,Manhattan,-73.99227491,40.77228439,TEST-10019,
19804,2015,5.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"22-011 98 STREET, East Elmhurst",11369,Queens,-73.87283765,40.77093537,TEST-11369,
2683,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"4109 7 AVENUE, Brooklyn",11232,Brooklyn,-74.00095047,40.64730866,TEST-11232,Unknown
3069,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1954 UNIONPORT ROAD, Bronx",10462,Bronx,-73.86884742,40.84998482,TEST-10462,
13522,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"123-048 LAX AVENUE, College Point",11356,Queens,-73.84363301,40.79419473,TEST-11356,
922,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"855 11 AVENUE, New York",10019,Manhattan,-73.99116795,40.77114864,TEST-10019,Unknown
12232,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"2434 BRONX PARK EAST, Bronx",10467,Bronx,-73.87065642,40.86245046,TEST-10467,Unknown
6650,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"109 WEST 112 STREET, New York",10026,Manhattan,-73.9521218,40.79974983,TEST-10026,
723,2015,10.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"97-007 34 AVENUE, Corona",11368,Queens,-73.87065843,40.75524068,TEST-11368,
12473,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"3000 BRONX PARK EAST, Bronx",10467,Bronx,-73.8706956,40.86989805,TEST-10467,Unknown
13460,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"11 CHRISTOPHER STREET, New York",10014,Manhattan,-74.00035418,40.73400345,TEST-10014,
